candidate,timeframe,family,freq_band,in_preferred_window,trades_per_day,win_rate,profit_factor,ci_lower,ci_upper,expectancy_usd,max_drawdown,verdict,robustness_score
V32-VOL-COMP-EXP-4H,4h,vol_comp_exp,< 0.5/day,NO,0.01,100.0,99.0,99.0,99.0,4.17,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,35.15
V32-VOL-COMP-EXP-1H,1h,vol_comp_exp,< 0.5/day,NO,0.01,100.0,99.0,99.0,99.0,9.38,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,35.15
V32-MTF-CONFLUENCE-30M,30m,mtf_confluence,< 0.5/day,NO,0.31,39.3,1.1,0.432,2.306,0.24,3.4,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.649
V32-ADAPTIVE-HYBRID-4H,4h,adaptive_hybrid,< 0.5/day,NO,0.47,40.5,1.068,0.512,1.882,0.21,3.8,PROFITABLE_BUT_NOT_ROBUST,0.645
V32-TREND-CONT-1H,1h,trend_cont,1.0-1.5/day,NO,1.18,36.8,0.995,0.609,1.446,-0.01,9.0,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.631
V32-MOMENTUM-CONT-30M,30m,momentum_cont,1.0-1.5/day,NO,1.41,37.0,0.899,0.599,1.303,-0.27,7.8,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.609
V32-MEAN-REVERSION-30M,30m,mean_reversion,1.5-2.0/day,YES,1.78,38.1,0.735,0.511,1.015,-0.55,10.5,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE,0.562
V32-REGIME-MOM-30M,30m,regime_mom,0.5-1.0/day,NO,0.53,31.2,0.846,0.397,1.532,-0.44,4.1,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.555
V32-PULLBACK-CONT-30M,30m,pullback_cont,0.5-1.0/day,NO,0.86,33.8,0.737,0.434,1.207,-0.61,7.5,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.527
V32-BREAKOUT-VOL-1H,1h,breakout_vol,0.5-1.0/day,NO,0.83,28.0,0.728,0.411,1.193,-0.91,10.8,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.508
V32-PULLBACK-CONT-15M,15m,pullback_cont,0.5-1.0/day,NO,0.91,32.9,0.66,0.372,1.048,-0.59,6.5,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.502
V32-ADAPTIVE-HYBRID-1H,1h,adaptive_hybrid,< 0.5/day,NO,0.4,27.8,0.701,0.27,1.388,-0.97,5.6,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.491
V32-REGIME-MOM-1H,1h,regime_mom,0.5-1.0/day,NO,0.67,28.3,0.684,0.339,1.2,-1.02,10.0,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.489
V32-LIQUIDITY-REVERSAL-15M,15m,liquidity_reversal,1.5-2.0/day,YES,1.84,27.1,0.565,0.387,0.795,-0.8,13.3,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE,0.484
V32-TREND-CONT-30M,30m,trend_cont,1.0-1.5/day,NO,1.14,28.2,0.613,0.368,0.956,-1.13,12.2,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.478
V32-MEAN-REVERSION-15M,15m,mean_reversion,1.5-2.0/day,YES,1.86,31.1,0.498,0.345,0.703,-0.84,15.9,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE,0.463
V32-BREAKOUT-VOL-30M,30m,breakout_vol,0.5-1.0/day,NO,0.83,28.0,0.499,0.274,0.816,-1.51,13.1,NO_ROBUST_PROFITABLE_EDGE_FOUND,0.425
V32-LIQUIDITY-REVERSAL-1H,1h,liquidity_reversal,2.0-3.0/day,YES,2.06,21.6,0.46,0.301,0.66,-1.66,31.8,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE,0.422
V32-MTF-CONFLUENCE-1H,1h,mtf_confluence,< 0.5/day,NO,0.29,19.2,0.367,0.074,0.86,-2.12,6.3,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.356
